,Count
wow,104
was,1470
just,877
told,85
that,2621
my,941
son,30
’,2387
s,1002
book,139
“,1471
triggered,3
”,1489
is,4153
number,84
one,443
on,2516
the,14271
new,587
york,154
times,138
bestseller,1
list,24
congratulations,228
don,386
thank,751
you,1651
franklingraham,1
it,2133
a,4907
time,527
of,5808
shame,14
for,3201
our,2316
country,837
democrats,765
know,250
what,570
they,1856
are,2318
doing,413
wrong,151
https,2891
t.co/o32ybh04vc,1
t.co/fj8gmdh5bx,1
read,84
transcript,47
never,550
trumpers,10
any,220
laws,102
or,682
did,297
anything,105
and,7214
have,1747
to,7392
move,46
away,72
from,769
quid,20
pro,26
quo,21
because,335
there,673
no,999
ukraine,67
got,209
money,193
3,80
weeks,37
early,60
investigation,89
charleshurt,2
foxandfriends,196
most,246
powerful,46
tool,14
legislative,11
branch,2
has,1243
impeachment,91
amp,1669
ve,89
turned,35
into,343
political,118
cudgel,1
which,445
not,1318
at,1373
all,1263
founders,6
intended,5
when,427
hear,43
schiff,120
use,87
these,217
words,72
like,365
can,542
t,1057
specify,1
donald,127
trump,700
broke,20
nancy,117
pelosi,114
cares,8
more,712
about,588
power,67
than,574
she,235
does,152
principle,5
want,470
go,269
down,244
this,1386
road,7
realizes,4
huge,14
loser,21
envisioned,1
worst,72
people,1144
being,445
in,4163
politics,52
yet,97
couldn,36
envision,1
taking,94
stacked,3
deck,2
against,249
president,937
republicans,269
leaked,19
out,657
everything,76
stevedoocy,7
millions,77
americans,130
will,2380
see,288
partisan,14
sham,6
whole,51
thing,128
rush,15
limbaugh,9
also,287
why,290
corrupt,145
politician,21
allowed,93
hand,34
over,340
cross,5
examination,2
high,163
priced,1
outside,32
lawyer,64
ever,316
work,254
me,604
would,604
be,2217
conflict,11
hurt,50
we,2093
support,156
him,292
left,158
accepted,6
results,55
2016,89
election,336
saw,26
coming,203
hate,47
everyone,150
he,1283
representing,17
seanhannity,54
foxnews,218
sean,14
amazing,69
warrior,9
phony,119
showtrial,2
zero,79
due,29
process,66
none,16
another,161
fraudulent,28
hoax,110
conspiracy,17
theory,3
witch,299
hunt,302
socialist,8
doemocrat,1
party,211
become,81
done,417
past,51
years,483
except,47
try,50
circus,1
town,4
compromised,4
coward,1
congenital,1
liar,15
adam,72
show,119
capital,8
hill,13
brought,43
by,1133
his,662
raging,4
psychotic,1
top,64
allies,14
media,482
mob,9
re,86
going,380
next,110
two,240
rigged,71
ridiculous,74
travesty,4
an,562
inquiry,7
loudobbs,53
daca,79
recipients,5
with,2274
arrest,3
records,31
"53,792",1
very,1170
large,96
proportion,3
total,248
good,505
but,804
able,60
make,435
deal,326
dems,336
scam,69
do,788
nothing,328
t.co/aftqe293jf,1
many,681
longer,84
young,34
far,245
angels,1
some,202
tough,109
hardened,5
criminals,33
obama,247
said,298
had,378
legal,42
right,191
sign,43
order,127
anyway,35
if,560
supreme,88
court,140
remedies,1
overturn,5
made,332
them,412
stay,60
economy,238
booming,25
seems,25
set,42
record,157
day,293
i,2597
releasing,9
first,313
therefore,22
important,150
phone,42
call,167
ukrainian,41
before,274
week,73
end,170
energy,74
company,26
taken,76
china,432
now,853
reports,28
other,406
companies,143
countries,199
giving,53
big,746
certainly,8
looking,210
put,130
mildly,8
both,125
bidens,6
should,520
forced,56
testify,31
pressure,34
investigate,28
sleepy,43
joe,80
biden,51
even,444
though,52
as,892
obligation,4
look,255
corruption,45
actions,23
tape,12
firing,21
prosecutor,12
dollars,223
knowledge,15
talent,19
such,158
focus,47
2nd,68
3rd,3
witnesses,16
whom,10
whose,31
lawyers,31
others,193
stated,84
great,2286
seanspicer,2
proud,95
vote,370
spicer,5
dancing,5
stars,8
loyal,13
guy,74
who,870
working,283
hard,274
quarterfinals,1
way,319
maga,140
kag,5
t.co/ux86des4c5,1
isn,45
subverting,1
democracy,19
billoreilly,1
so,993
true,138
led,34
angry,95
dishonest,84
themselves,34
must,421
impeachable,9
offense,3
luck,23
jessebwatters,12
until,79
september,24
30th,1
give,136
aid,21
gets,35
11th,10
deadline,4
ally,6
investigated,15
remember,107
get,600
return,18
created,31
reverse,3
engineer,3
been,678
vowing,1
impeach,35
three,44
listen,16
greggutfeld,7
continue,111
transparent,5
history,271
sometime,4
am,319
sure,38
find,81
tantalizing,1
fabricated,16
fabricate,5
transcripts,9
making,166
totally,198
sided,13
farce,3
perfect,23
think,151
signed,59
whistleblower,84
protection,31
act,100
t.co/osmppcrs7x,1
where,202
gave,77
much,534
false,76
information,93
along,95
today,544
come,199
together,205
nation,145
salute,15
veterans,51
united,454
states,443
armed,14
forces,14
–,118
greatest,100
warriors,6
walk,4
face,27
earth,18
risked,1
us,301
duty,20
serve,34
protect,99
every,131
lives,76
t.co/vc3ugvwf9s,1
chinese,29
say,152
trade,320
war,75
tariffs,184
‘,22
table,7
prosperous,6
world,305
seen,86
jamie,2
dimon,2
60minutes,7
republican,285
shifty,23
only,382
release,41
doctored,1
haven,25
documents,35
restricted,2
having,114
their,733
own,61
up,557
statement,86
takes,18
credibility,39
ended,19
investigared,1
fraud,62
rally,82
campaign,225
lift,5
poll,67
numbers,153
kentucky,45
governor,192
matt,34
bevin,4
19,15
points,45
misses,1
commonwealth,4
wins,32
fake,730
news,805
blames,3
bad,363
night,179
ok,18
mississippi,28
won,164
meeting,209
representatives,42
vaping,4
industry,27
medical,12
professionals,12
individual,16
state,345
acceptable,14
solution,14
e-cigarette,1
dilemma,1
children,43
health,20
safety,87
jobs,345
happy,154
t.co/5ngnezjm8g,1
t.co/r5b47geep4,1
t.co/lejupyekxw,1
t.co/tox0vh5bbd,1
plot,7
story,180
how,269
congressman,88
devin,5
nunes,4
uncovered,3
biggest,87
scandal,31
u.s,604
shows,48
side,55
check,28
t.co/kqetvko6q9,1
iran,115
turn,36
kidnapped,1
former,63
fbi,252
agent,28
robert,61
levinson,1
missing,21
12,23
positive,33
step,35
same,122
upon,13
belief,3
enriching,3
uranium,11
t.co/9myiafmb9y,1
t.co/frbs5fexir,1
t.co/yuljikayzt,1
nikkihaley,4
respect,65
your,413
copy,3
stop,167
her,226
tour,14
stops,7
hello,6
nikki,3
t.co/uhkaalvult,1
fools,21
trap,4
saying,77
stronger,65
m,72
trying,113
let,169
house,358
dividing,2
america,566
reason,84
lot,59
things,205
lowering,9
drug,76
costs,27
getting,204
mexico,220
canada,55
