,Count
rt,2928
scavino45,78
after,69
the,2297
call,35
ambassador,7
taylor,13
met,14
with,322
ukrainian,12
president,441
volodymyr,2
zelensky,8
very,37
next,19
day,74
sa…,4
jim_jordan,64
mr,15
kent,5
affirmed,1
ukraine,28
has,201
a,760
long-standing,1
history,34
of,931
corruption,10
and,876
trump,375
was,209
deeply,3
skeptical,1
this,317
cor…,1
https,900
t.co/zodjmgmp5f,1
moments,2
ago,13
t.co/xi41tpshep,1
t.co/u5xlrdrx8p,1
t.co/qqoztunzqk,1
impeachmentsham,2
schiffshow,1
t.co/drr2s6vtrc,1
wow,11
sooo,2
sad,4
shifty,5
schiff,75
cuts,16
off,23
elisestefanik,2
for,592
wanting,4
to,1294
enter,2
actual,2
transcript,18
july,7
25th,1
betwe…,1
aid,9
delayed,2
by,171
just,117
55,2
days.during,1
that,321
time,76
we,280
verified,1
real,28
deal,25
t.co/twj…,1
great,149
question,12
repratcliffe,4
no,99
answer,6
given,6
t.co/ovmgqgfzwu,1
repchrisstewart,2
“,275
welcome,17
year,29
4,17
ongoing,4
impeachment,108
realdonaldtrump,830
if,87
your,91
case…,1
’,528
ve,29
got,14
six,5
people,97
having,9
four,8
conversations,1
in,728
one,77
sentence,1
you,311
told,17
me,45
is,595
where,14
clear,10
unde…,1
an,137
abject,1
failure,4
democrats,188
adam,37
”,180
t.co/lhia0q8mb8,1
stevescalise,29
what,105
i,330
can,93
do,92
here,60
today,162
tell,9
heard,11
from,167
dems,52
star,7
witness,13
said,28
he,160
had,33
firs…,1
repmarkmeadows,46
listen,6
review,3
unbelievable,4
amount,2
hearsay,2
these,29
allegations,2
are,335
based,10
on,488
spread,2
it,299
far,19
wide.…,1
gopoversight,15
•,4
first-hand,3
knowledge.•,1
never,50
spoke,16
trump.•,1
rudy,2
giuliani.•,1
mick,1
mulvan…,1
days,17
since,55
repadamschiff,13
learned,5
identity,5
whistleblower,35
93,3
t.co/lxmokhz227,1
housegop,9
s,286
not,164
about,147
facts,8
fairness,3
finding,1
truth,13
american,121
hou…,1
📺,1
watch,55
ask,12
alleged,3
quid,8
pro,12
quo,6
admits,8
knowledge,7
t…,64
only,53
member,11
congress,46
who,134
knows,7
started,7
entire,16
sham.…,1
repmattgaetz,9
their,128
nothing,26
impeachmenthearings,2
t.co/djttlkvnzo,1
changes,6
rules,10
middle,9
his,137
hearing,6
're,28
surprised.schiff,1
's,236
impea…,1
repkevinbrady,3
under,49
majority,13
waysandmeansgop,3
room,7
used,13
improve,2
lives,15
americans,65
things,16
like…,1
reparrington,3
housedemocrats,3
hijacked,1
our,277
waysmeanscmte,1
political,28
circus.their,1
obsession…,1
emerged,1
bunker,1
put,24
public,19
show,31
but,65
have,203
n't,76
changed,3
zelen…,1
meet,13
witnesses,10
called,16
neither,8
any,31
firsthand,5
realdonal…,2
tomfitton,72
does,18
know,38
how,57
protect,18
cover-up,7
repleezeldin,18
isn,7
t,107
even,42
trying,27
hide,4
prosecutor,2
judge,6
jury,2
coach,2
amp,232
lead,8
story,20
teller,1
kangaro…,1
whitehouse,234
they,183
stop,20
because,57
'm,11
fighting,14
'll,10
let,30
happen,10
—,24
htt…,13
gopleader,18
chairman,16
435,2
members,26
is…,12
devinnunes,17
vowing,1
publicly,1
requires,2
bipartisan,7
support,50
pushing,4
impeachment…,1
claimed,4
identity.he,1
deliberately,1
mislead,1
office's…,1
fact,18
check,13
nor,4
george,3
w…,16
reminder,10
caught,6
misleading,3
reporter,2
communication,2
barely,4
weeks,10
a…,31
👏,4
sham,13
👏→,1
refusing,2
access,7
important,24
witnesses.→,1
legal,4
counsel,5
allowe…,1
replizcheney,1
minutes,5
took,24
oath,2
office,28
inauguration,6
2017,9
washington,22
post,8
ran,3
piece,2
ushe…,1
repjimbanks,1
america,103
will,207
see,41
party,22
try,8
overturn,2
constitutional,3
election,37
united,47
states,44
amer…,3
inconvenient,1
democrat,26
fantasy,1
shows,13
zero,8
link,2
between,21
political…,2
hearings,9
begin,5
make,35
mistake,3
been,92
