"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Project Goal","Start Date","Completion Date","Project Life Cycle Cost","Software Project","New or Existing Metric","If Existing: Metric ID","If Existing: Agency Metric ID","If New: Metric Description","If New: Metric Unit of Measure","If New: Metric Measurement Condition","Metric Target at Deployment","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M09001,1317,,"Development facility",,2009-06-16,2011-12-15,27.6,,,,,,,,,0,0,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M09002,1318,,"Research HPC-ORNL",,2009-06-18,2012-05-02,49.06,,,,,,,,,0,0,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M10003,1319,,"R&amp;D HPCS",,2010-08-25,2012-02-28,40.7,,,,,,,,,-3,-0.54,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M11004,1320,,"Hurricane Forecast Improvement (HFIP)",,2011-05-10,2011-12-02,2.47,,,,,,,,,-10,-4.85,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M11005,2933,,"GFDL Data Portal",,2011-11-01,2012-02-29,1.383,,,,,,,,,-6,-5,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M11007,3123,,"FY12 Hurricane Forecast Improvement (HFIP)",,2012-03-16,2012-09-30,2.424,,,,,,,,,0,0,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M14010,9187,,"FY14 Hurricane Forecast Improvement (HFIP)",,2014-03-16,2014-09-30,2.688643,,,,,,,,,0,0,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M14011,9189,,"Hurricane Sandy Supplemental R&amp;D HPCS Augmentation",,2013-11-01,2015-04-06,24.269,,,,,,,,,-620,-119,Red,0.30698,1.26,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M14012,9191,,"R&amp;D HPCS FY 2015 O&amp;M",,2014-10-01,2015-09-30,27.2,,,,,,,,,0,0,Green,-3.10124,-11.4,Yellow,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M14013,9193,,"FY15 Hurricane Forecast Improvement (HFIP)",,2014-10-01,2015-09-30,2,,,,,,,,,-1,-0.51,Green,0,0,Green,Completed,09/19/2018,19:27:16
006-000380400,711,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/OCIO/ NOAA R&D High Performance Computing System (HPCS)",3804M14015,12459,,"FY16 Hurricane Forecast Improvement Project(HFIP)",,2015-10-01,2024-09-30,2,,,,,,,,,0,0,Green,-1,-50,Red,Completed,09/19/2018,19:27:16
